enabled,minimum_probability_residual,minimum_reversion_probability,trailing_giveback_fraction,trailing_activation_multiple,second_target_multiple,adverse_state_probability_move,minimum_runner_contracts,trades,scaled_reversions,full_reversion_exits,runner_target_exits,runner_trailing_exits,runner_state_exits,runner_settlements,full_settlements,fees,capital,pnl,roi
False,0.01,0.7,0.5,0.25,1.5,0.05,0.1,388,303,24,123,163,13,4,61,220.85999999999993,3999.7199999999975,-292.01198448404557,-0.07300810668847964
False,0.03,0.8,0.5,0.25,3.0,0.02,0.1,170,144,0,8,125,7,4,26,82.35000000000004,1745.8799999999999,-138.83141985216932,-0.07951945142402074
False,0.03,0.8,0.5,0.25,3.0,0.05,0.1,170,144,0,8,125,7,4,26,82.35000000000004,1745.8799999999999,-138.83141985216932,-0.07951945142402074
False,0.03,0.8,0.35,0.25,3.0,0.02,0.1,170,144,0,6,127,7,4,26,82.35000000000004,1745.8799999999999,-138.90679164490763,-0.07956262265728896
False,0.03,0.8,0.35,0.25,3.0,0.05,0.1,170,144,0,6,127,7,4,26,82.35000000000004,1745.8799999999999,-138.90679164490763,-0.07956262265728896
False,0.03,0.8,0.35,0.25,2.0,0.02,0.1,170,144,0,11,122,7,4,26,82.36000000000003,1745.8799999999999,-139.119170765708,-0.07968426854406259
False,0.03,0.8,0.35,0.25,2.0,0.05,0.1,170,144,0,11,122,7,4,26,82.36000000000003,1745.8799999999999,-139.119170765708,-0.07968426854406259
False,0.03,0.8,0.5,0.25,2.0,0.02,0.1,170,144,0,12,121,7,4,26,82.36000000000003,1745.8799999999999,-139.12357036325096,-0.07968678853257438
False,0.03,0.8,0.5,0.25,2.0,0.05,0.1,170,144,0,12,121,7,4,26,82.36000000000003,1745.8799999999999,-139.12357036325096,-0.07968678853257438
False,0.03,0.8,0.5,0.25,1.5,0.02,0.1,170,144,0,48,85,7,4,26,82.38000000000004,1745.8799999999999,-139.26286290616144,-0.07976657210470448
False,0.03,0.8,0.5,0.25,1.5,0.05,0.1,170,144,0,48,85,7,4,26,82.38000000000004,1745.8799999999999,-139.26286290616144,-0.07976657210470448
False,0.03,0.8,0.35,0.25,1.5,0.02,0.1,170,144,0,47,86,7,4,26,82.38000000000004,1745.8799999999999,-139.27229449418124,-0.07977197430188859
False,0.03,0.8,0.35,0.25,1.5,0.05,0.1,170,144,0,47,86,7,4,26,82.38000000000004,1745.8799999999999,-139.27229449418124,-0.07977197430188859
False,0.01,0.6,0.35,0.25,3.0,0.02,0.1,399,307,21,8,279,16,4,71,239.63,4120.949999999998,-344.88586019622795,-0.08369086259144812
False,0.01,0.6,0.35,0.25,2.0,0.02,0.1,399,307,21,37,250,16,4,71,239.64,4120.949999999998,-344.9468416420442,-0.08370566050110882
False,0.01,0.6,0.35,0.25,3.0,0.05,0.1,399,307,21,8,279,14,6,71,239.60999999999999,4120.949999999998,-345.04300272765914,-0.08372899518986139
False,0.01,0.6,0.35,0.25,2.0,0.05,0.1,399,307,21,37,250,14,6,71,239.61999999999998,4120.949999999998,-345.1039841734754,-0.0837437930995221
False,0.075,0.7,0.35,0.25,2.0,0.02,0.1,40,29,0,1,24,4,0,11,21.920000000000005,413.32000000000005,-34.67231990703659,-0.08388735097995884
False,0.075,0.7,0.35,0.25,2.0,0.05,0.1,40,29,0,1,24,4,0,11,21.920000000000005,413.32000000000005,-34.67231990703659,-0.08388735097995884
False,0.075,0.7,0.35,0.25,3.0,0.02,0.1,40,29,0,1,24,4,0,11,21.920000000000005,413.32000000000005,-34.67231990703659,-0.08388735097995884
False,0.075,0.7,0.35,0.25,3.0,0.05,0.1,40,29,0,1,24,4,0,11,21.920000000000005,413.32000000000005,-34.67231990703659,-0.08388735097995884
False,0.01,0.6,0.5,0.25,2.0,0.02,0.1,398,306,21,41,245,16,4,71,239.39999999999998,4110.809999999998,-345.46014221073756,-0.08403700054508424
False,0.01,0.6,0.5,0.25,2.0,0.05,0.1,398,306,21,41,245,14,6,71,239.37999999999997,4110.809999999998,-345.61728474216875,-0.08407522720392549
False,0.075,0.7,0.5,0.25,1.5,0.02,0.1,40,29,0,9,16,4,0,11,21.910000000000004,413.32000000000005,-34.75376439146642,-0.08408440044388468
False,0.075,0.7,0.5,0.25,1.5,0.05,0.1,40,29,0,9,16,4,0,11,21.910000000000004,413.32000000000005,-34.75376439146642,-0.08408440044388468
False,0.075,0.7,0.5,0.25,2.0,0.02,0.1,40,29,0,1,24,4,0,11,21.910000000000004,413.32000000000005,-34.75885065034626,-0.08409670630587984
False,0.075,0.7,0.5,0.25,2.0,0.05,0.1,40,29,0,1,24,4,0,11,21.910000000000004,413.32000000000005,-34.75885065034626,-0.08409670630587984
False,0.075,0.7,0.5,0.25,3.0,0.02,0.1,40,29,0,1,24,4,0,11,21.910000000000004,413.32000000000005,-34.75885065034626,-0.08409670630587984
False,0.075,0.7,0.5,0.25,3.0,0.05,0.1,40,29,0,1,24,4,0,11,21.910000000000004,413.32000000000005,-34.75885065034626,-0.08409670630587984
False,0.075,0.7,0.35,0.25,1.5,0.02,0.1,40,29,0,9,16,4,0,11,21.920000000000005,413.32000000000005,-34.764894938479316,-0.08411133005535495
