enabled,minimum_edge,confirmation_seconds,maximum_pre_event_trade_age_seconds,maximum_event_to_entry_seconds,invalidate_on_next_pitch,minimum_fair_move,momentum_exit_enabled,momentum_window_seconds,minimum_favorable_velocity,momentum_trailing_giveback,momentum_max_hold_seconds,minimum_momentum_trades,minimum_seconds_between_entries,allowed_event_types,maximum_hold_seconds,exit_target_mode,latch_reversion_exit,minimum_reversion_move,side_filter,position_sizing,minimum_edges_by_segment,confirmation_seconds_by_segment,minimum_reversion_moves_by_segment,trades,pnl,capital,fees,games,trades_per_game,roi,pnl_without_best_game,profitable_folds,worst_fold_roi,minimum_fold_trades_per_game
True,0.045,0.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",300.0,frozen,False,0.0,both,fixed_payout,{},{},{},385,19.910000000000043,2106.3099999999995,103.19000000000001,918,0.41938997821350765,0.009452549719651926,14.450000000000042,2,-0.025736701109835437,0.3729903536977492
True,0.045,0.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",300.0,frozen,True,0.0,both,fixed_payout,{},{},{},385,-18.29999999999995,2106.3099999999995,104.5,918,0.41938997821350765,-0.008688179802593139,-25.309999999999953,2,-0.04214504401071567,0.3729903536977492
True,0.045,1.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",0.0,dynamic,False,0.0,both,fixed_payout,{},{},{},325,63.87000000000001,1784.5399999999995,77.23,918,0.3540305010893246,0.03579073598798572,53.320000000000014,2,-0.006560376880998277,0.3183279742765273
True,0.045,1.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",0.0,dynamic,True,0.0,both,fixed_payout,{},{},{},325,-16.290000000000017,1784.5399999999995,82.08999999999999,918,0.3540305010893246,-0.009128402837706088,-22.80000000000002,1,-0.05084778757616466,0.3183279742765273
True,0.045,1.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",0.0,frozen,False,0.0,both,fixed_payout,{},{},{},325,24.32000000000003,1784.5399999999995,75.38,918,0.3540305010893246,0.013628161879251815,17.420000000000027,1,-0.018026436177461105,0.3183279742765273
True,0.045,1.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",0.0,frozen,True,0.0,both,fixed_payout,{},{},{},325,-12.289999999999992,1784.5399999999995,79.88999999999999,918,0.3540305010893246,-0.00688692884440808,-21.949999999999996,1,-0.05086725456987681,0.3183279742765273
True,0.045,1.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",120.0,dynamic,False,0.0,both,fixed_payout,{},{},{},325,10.93000000000003,1784.5399999999995,88.16999999999999,918,0.3540305010893246,0.006124827686686784,7.390000000000029,1,-0.012711946894041166,0.3183279742765273
True,0.045,1.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",120.0,dynamic,True,0.0,both,fixed_payout,{},{},{},325,-5.369999999999989,1784.5399999999995,88.97,918,0.3540305010893246,-0.0030091788360025497,-8.699999999999989,1,-0.0176718489924567,0.3183279742765273
True,0.045,1.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",120.0,frozen,False,0.0,both,fixed_payout,{},{},{},325,5.380000000000026,1784.5399999999995,88.12,918,0.3540305010893246,0.0030147825209858154,1.7400000000000242,1,-0.017033619498140917,0.3183279742765273
True,0.045,1.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",120.0,frozen,True,0.0,both,fixed_payout,{},{},{},325,-10.739999999999991,1784.5399999999995,88.84,918,0.3540305010893246,-0.006018357672005107,-14.169999999999991,1,-0.019584233452562237,0.3183279742765273
