reversion_fraction,state_exit,minimum_logit_residual,maximum_selected_entry_latency,maximum_inning,side_filter,trades,pnl,capital,roi,reversion_exits,thesis_invalidations,timeout_exits,fold_1_trades,fold_1_pnl,fold_1_roi,fold_2_trades,fold_2_pnl,fold_2_roi,fold_3_trades,fold_3_pnl,fold_3_roi,minimum_fold_trades,profitable_folds,worst_fold_roi
0.5,next_pitch,0.3,10.0,6,no,7,7.380877093920573,70.0,0.10544110134172247,2,0,3,3,6.303030303030303,0.2101010101010101,2,-0.21739130434782628,-0.010869565217391314,2,1.2952380952380964,0.06476190476190483,2,2,-0.010869565217391314
0.75,next_pitch,0.3,10.0,6,no,7,7.380877093920573,70.0,0.10544110134172247,2,0,3,3,6.303030303030303,0.2101010101010101,2,-0.21739130434782628,-0.010869565217391314,2,1.2952380952380964,0.06476190476190483,2,2,-0.010869565217391314
1.0,next_plate_appearance,0.2,5.0,6,no,3,3.142799229755749,30.0,0.10475997432519164,1,0,0,1,-1.9230769230769236,-0.19230769230769235,1,0.21739130434782508,0.021739130434782507,1,4.848484848484848,0.48484848484848475,1,2,-0.19230769230769235
1.0,next_pitch,0.3,10.0,9,no,15,15.524769433465087,150.0,0.10349846288976725,2,0,7,7,13.766798418972332,0.19666854884246188,4,-2.1086956521739135,-0.05271739130434784,4,3.8666666666666663,0.09666666666666665,4,2,-0.05271739130434784
1.0,next_pitch,0.3,10.0,99,no,15,15.524769433465087,150.0,0.10349846288976725,2,0,7,7,13.766798418972332,0.19666854884246188,4,-2.1086956521739135,-0.05271739130434784,4,3.8666666666666663,0.09666666666666665,4,2,-0.05271739130434784
0.5,none,0.2,7.0,9,no,17,17.58109391853274,170.0,0.10341819952078082,4,0,13,5,15.90125972734668,0.3180251945469336,6,-3.349466776045941,-0.05582444626743235,6,5.029300967232001,0.08382168278720002,5,2,-0.05582444626743235
0.5,none,0.2,7.0,99,no,17,17.58109391853274,170.0,0.10341819952078082,4,0,13,5,15.90125972734668,0.3180251945469336,6,-3.349466776045941,-0.05582444626743235,6,5.029300967232001,0.08382168278720002,5,2,-0.05582444626743235
0.5,none,0.3,10.0,6,no,7,7.199058912102391,70.0,0.10284369874431987,2,0,5,3,6.121212121212121,0.20404040404040405,2,-0.21739130434782628,-0.010869565217391314,2,1.2952380952380964,0.06476190476190483,2,2,-0.010869565217391314
0.75,none,0.3,10.0,6,no,7,7.199058912102391,70.0,0.10284369874431987,2,0,5,3,6.121212121212121,0.20404040404040405,2,-0.21739130434782628,-0.010869565217391314,2,1.2952380952380964,0.06476190476190483,2,2,-0.010869565217391314
0.75,next_plate_appearance,0.2,7.0,9,no,19,19.52339195168959,190.0,0.10275469448257679,3,3,1,5,15.352321004494915,0.3070464200898983,8,-3.271256839960696,-0.040890710499508695,6,7.4423277871553735,0.12403879645258956,5,2,-0.040890710499508695
0.75,next_plate_appearance,0.2,7.0,99,no,19,19.52339195168959,190.0,0.10275469448257679,3,3,1,5,15.352321004494915,0.3070464200898983,8,-3.271256839960696,-0.040890710499508695,6,7.4423277871553735,0.12403879645258956,5,2,-0.040890710499508695
1.0,next_plate_appearance,0.3,10.0,6,no,7,7.1610135735514895,70.0,0.10230019390787842,2,0,0,3,4.943622269203664,0.16478740897345548,2,0.21739130434782508,0.010869565217391254,2,2.0000000000000004,0.10000000000000002,2,3,0.010869565217391254
1.0,next_pitch,0.3,10.0,6,both,9,8.952305665349146,90.0,0.09947006294832383,2,0,4,4,7.303030303030302,0.18257575757575756,2,-0.21739130434782628,-0.010869565217391314,3,1.866666666666667,0.06222222222222223,2,2,-0.010869565217391314
0.25,next_pitch,0.2,10.0,9,no,20,19.51162519005013,200.0,0.09755812595025065,7,0,3,7,14.065943718117632,0.20094205311596616,6,-1.8400328137817885,-0.03066721356302981,7,7.285714285714285,0.10408163265306121,6,2,-0.03066721356302981
0.25,next_pitch,0.2,10.0,99,no,20,19.51162519005013,200.0,0.09755812595025065,7,0,3,7,14.065943718117632,0.20094205311596616,6,-1.8400328137817885,-0.03066721356302981,7,7.285714285714285,0.10408163265306121,6,2,-0.03066721356302981
1.0,none,0.3,10.0,6,both,9,8.770487483530964,90.0,0.09744986092812181,2,1,6,4,7.12121212121212,0.178030303030303,2,-0.21739130434782628,-0.010869565217391314,3,1.866666666666667,0.06222222222222223,2,2,-0.010869565217391314
0.25,none,0.16,10.0,9,no,24,23.199710052048033,240.0,0.09666545855020013,13,0,11,9,14.434292760379718,0.16038103067088574,7,-0.09760857135754569,-0.0013944081622506528,8,8.863025863025863,0.11078782328782329,7,2,-0.0013944081622506528
0.25,none,0.16,10.0,99,no,24,23.199710052048033,240.0,0.09666545855020013,13,0,11,9,14.434292760379718,0.16038103067088574,7,-0.09760857135754569,-0.0013944081622506528,8,8.863025863025863,0.11078782328782329,7,2,-0.0013944081622506528
0.75,none,0.2,7.0,9,no,19,18.17968976712859,190.0,0.09568257772172942,4,2,13,5,15.90125972734668,0.3180251945469336,8,-4.075657252236416,-0.050945715652955206,6,6.354087292018327,0.10590145486697211,5,2,-0.050945715652955206
0.75,none,0.2,7.0,99,no,19,18.17968976712859,190.0,0.09568257772172942,4,2,13,5,15.90125972734668,0.3180251945469336,8,-4.075657252236416,-0.050945715652955206,6,6.354087292018327,0.10590145486697211,5,2,-0.050945715652955206
0.5,next_plate_appearance,0.2,10.0,9,no,25,23.862543791470273,250.0,0.09545017516588108,9,1,1,9,11.322681241613019,0.12580756935125575,6,-2.5450663637702204,-0.04241777272950367,10,15.084928913627467,0.15084928913627466,6,2,-0.04241777272950367
