inning_topbot_after,delta_inning,delta_outs,delta_score_diff,delta_runner_on_first,delta_runner_on_second,delta_runner_on_third,count_reset,transitions,mean,std,median,minimum,maximum,positive_rate
1.0,0,2,0,-1.0,0.0,0.0,False,34,-0.01345997536983935,0.007243202028747849,-0.013245265266869866,-0.02170127876721828,0.0,0.0
0.0,0,0,0,-1.0,1.0,1.0,False,33,0.0,0.0,-0.0,-0.0,-0.0,0.0
1.0,0,-1,0,-1.0,0.0,0.0,False,33,0.03700648113033082,0.020714200627982626,0.041432601085690635,0.00628393536769245,0.0785933856624868,1.0
0.0,0,2,0,-1.0,0.0,0.0,False,33,-0.014171681922143855,0.0072872674262221895,-0.011567454031413571,-0.02359847182314967,-0.005427495105171487,0.0
1.0,0,1,1,0.0,0.0,-1.0,False,33,0.07387533763192446,0.06204497231012041,0.08556293140416715,-0.005980986752649936,0.22116400056030872,0.7575757575757576
1.0,0,0,0,-1.0,1.0,1.0,False,30,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0,-3,-1.0,0.0,-1.0,True,29,0.21051102717360765,0.17070224628667677,0.20697374188779016,-0.0,0.4963055194806205,0.7586206896551724
0.0,1,-2,0,-1.0,0.0,-1.0,False,29,0.0269261211075727,0.020921930741097702,0.025591948692723077,0.0003564517783061216,0.0744743568478311,1.0
0.0,0,1,0,-1.0,0.0,1.0,False,29,-0.004011482375557944,0.007713441024682474,-0.0,-0.02359847182314967,-0.0,0.0
1.0,0,-1,0,-1.0,0.0,-1.0,True,29,0.03675092065515158,0.0215010625312922,0.041432601085690635,0.004368068665413241,0.09487584854090769,1.0
1.0,0,-2,0,0.0,0.0,-1.0,False,28,0.02287200305060814,0.016632356233155503,0.0228884440074673,-0.0027655582145502677,0.06091818593590326,0.9285714285714286
1.0,0,0,1,1.0,-1.0,0.0,False,28,0.09911507628155128,0.07098588866025211,0.11630583502461722,0.0,0.22393604876441942,0.75
0.0,0,0,-1,0.0,1.0,-1.0,False,27,0.08117859535872642,0.062347959963601186,0.07700151672122546,-0.0,0.2012356713826221,0.8148148148148148
